100,84.521,2292
200,121.735,2952
300,150.106,3380
400,174.511,3802
500,203.986,4272
600,232.346,4580
700,262.257,5049
800,286.179,5315
900,301.202,5614
1000,335.073,6046
1100,369.094,6464
1200,391.301,6796
1300,405.466,7025
1400,426.972,7289
1500,472.257,7909
1600,482.544,8110
1700,510.391,8337
1800,539.812,8798
1900,558.603,9034
2000,578.956,9299
2100,608.869,9667
2200,622.235,9921
2300,657.451,10341
2400,687.817,10664
2500,704.756,10893
2600,740.448,11357
2700,763.712,11713
2800,783.721,11918
2900,800.757,12170
3000,838.671,12671
