100,81.305,2179
200,117.68,2742
300,148.025,3257
400,210.492,3688
500,209.012,4094
600,235.57,4482
700,263.522,4860
800,285.634,5157
900,317.962,5548
1000,329.29,5737
1100,365.752,6245
1200,391.023,6594
1300,419.36,6956
1400,449.503,7190
1500,465.029,7577
1600,500.185,7882
1700,518.322,8259
1800,569.075,8682
1900,571.585,8877
2000,595.251,9254
2100,631.844,9669
2200,642.255,9853
2300,672.108,10278
2400,711.303,10687
2500,729.838,10966
2600,770.02,11387
2700,778.822,11568
2800,842.095,12044
2900,829.45,12272
3000,853.242,12536
