100,155.748,706
200,380.722,1949
300,605.366,3430
400,842.958,5094
500,1099.84,6919
600,1374.27,8808
700,1668.18,10859
800,1915.82,12936
900,2188.7,15091
1000,2455.53,17424
1100,2776.91,19755
1200,3086.29,22050
1300,3416.64,24605
1400,3694.95,26977
1500,3973.58,29398
1600,4272.67,32004
1700,4583.2,34763
1800,4870.26,37213
1900,5177.1,40069
2000,5457.12,42778
2100,5810.25,45484
2200,6166.73,48281
2300,6506.39,51223
2400,6840.15,53950
2500,7182.13,56906
2600,7585.39,59885
2700,7914.26,62730
2800,8234.18,65552
2900,8511.49,68527
3000,8839.43,71374
