100,147.071,643
200,338.087,1688
300,547.284,2993
400,781.897,4581
500,988.04,6062
600,1242.02,7820
700,1515.82,9876
800,1791.71,11878
900,2003.39,13514
1000,2194.47,14975
1100,2466.11,17329
1200,2862.43,20667
1300,3136.84,22542
1400,3411.96,25156
1500,3651.9,27150
1600,3954.23,29920
1700,4221.33,32074
1800,4391.69,33444
1900,4727.89,36290
2000,4977.84,39234
2100,5344.77,40994
2200,5759.16,43878
2300,5994.4,47480
2400,6421.2,50437
2500,6705.63,52759
2600,6987.38,56036
2700,7275.36,59431
2800,7772.38,62950
2900,7879.97,65204
3000,8308.15,67699
