100,40.191,704
200,103.927,1915
300,141.133,2329
400,194.834,3235
500,257.567,4352
600,325.071,5635
700,397.968,7093
800,474.325,8431
900,555.206,10047
1000,651.042,11960
1100,643.834,10906
1200,653.669,10525
1300,712.403,11454
1400,774.88,12565
1500,833.315,13445
1600,896.547,14495
1700,968.072,15804
1800,1043.07,16994
1900,1110.31,18253
2000,1173.89,19369
2100,1241.64,20486
2200,1324.89,22018
2300,1398.2,23495
2400,1476.51,24743
2500,1549.6,26069
2600,1620.12,27473
2700,1699.33,28933
2800,1799.9,30727
2900,1876.89,32232
3000,1967.57,33920
