100,21.712,553
200,38.575,985
300,55.951,1420
400,72.676,1850
500,89.108,2268
600,106.018,2697
700,119.783,3121
800,138.444,3539
900,156.173,3953
1000,170.891,4385
1100,187.672,4788
1200,205.223,5233
1300,222.46,5643
1400,237.798,6057
1500,252.272,6483
1600,266.849,6880
1700,283.725,7296
1800,301.111,7740
1900,316.625,8151
2000,337.966,8575
2100,350.049,8991
2200,365.022,9414
2300,383.005,9857
2400,400.572,10268
2500,417.896,10665
2600,431.475,11080
2700,447.742,11495
2800,464.288,11928
2900,481.42,12353
3000,499.424,12778
